card_id,chinese,pinyin,english
5jPxgX6UhSPaCZvG0FZaLi,我今早头痛得厉害.,wǒ jīn zǎo tóu tòng de lì hai.,I've got a terrible head this morning.
sWSEBsbJDVs4FfIDejCphq,子弹从枪中射出。,zǐ dàn zòng qiāng zhòng shè chū。,The bullet was expelled from the gun.
yfpzfoJKrUwYpYpoqfatJI,他的举动似乎有些古怪.,tā de jǔ dòng sì hu yǒu xiē gǔ guài.,His behaviour seemed queer.
il1cX1BwxwfwyVzaBOReTh,那只狗正向他扑过去。,nà zhǐ gǒu zhèng xiàng tā pū guò qu。,The dog is rushing at him.
Ca7BhoVbHkxLMDo5qwWHW0,他不愿意受到打扰。,tā bù yuàn yì shòu dào dǎ rǎo。,He did not care to be disturbed.
8FpbLiSLd0KHcNS0jjQHc0,子弹从枪中射出。,zǐ dàn zòng qiāng zhòng shè chū。,The bullet was expelled from the gun.
s0KQa6DvB4S5aaKRMil2bS,他在面包上涂黄油。,tā zài miàn bāo shàng tú huáng yóu。,He spread butter on his bread.
VWPkabSnkwDSdF270czyoz,一公斤等于一千克。,yī gōng jīn děng yú yī qiān kè。,One kilogram equals 1000 grams.
jGaannjeYd1hTg8aCq5xxb,红旗是危险的信号。,hóng qí shì wēi xiǎn de xìn hào。,A red flag is a sign of danger.
mawN8regeEN4hcQbvTW6bv,我们反对采取行动。,wǒ men fǎn duì cǎi qǔ xíng dòng。,We are averse to taking action.
OE6K2s3ROsjKvOachuTeFC,先把东西堆在那边。,xiān bǎ dōng xi duī zài nà bian。,Just dump everything over there.
lYTcHPkwvjOsDPu1VNBbhn,我们反对采取行动。,wǒ men fǎn duì cǎi qǔ xíng dòng。,We are averse to taking action.
UNgItpt62ugijAvXKD6T6m,情况紧急时请按铃。,qíng kuàng jǐn jí shí qǐng àn líng。,Ring the bell in an emergency.
RVFpZTVRE2pSaP5wm6QMdG,我并不完全同意你。,wǒ bìng bù wán quán tóng yì nǐ。,I do not altogether agree with you.
KWohXVBdFqCOeFlxzpAHqa,这个男孩埋头读书。,zhè gè nán hái mái tóu dú shū。,The boy buried himself in his books.
MkT3VnIOc0QviFsvxPsc6y,街道上垃圾成堆。,jiē dào shàng垃圾 chéng duī。,There were piles of litter in the streets.
s6dcy0SrzelEfUinPJ8Edw,他实际上不懂英语。,tā shí jì shàng bù dǒng Yīng yǔ。,He knew practically no English.
rEhaB66NMcNIw3TjLA46aQ,这幅画歪向左边了.,zhè fú huà wāi xiàng zuǒ biān le.,The picture is slanted to the left.
hL5JyQcb8VBYaH8z4xRKJc,我恨他那讨厌的品行。,wǒ hèn tā nà tǎo yàn de pǐn xíng。,I hate his obnoxious behavior.
PKDLiJvmYYNmk7dNF1WrmT,酸把地毯烧了个洞。,suān bǎ dì tǎn shāo le gè dòng。,The acid burnt a hole in the carpet.
aWFRm8xNPSmyYAvwjz0LVv,我醒来时已是白天.,wǒ xǐng lái shí yǐ shì bái tiān.,"When I woke up, it was already day."
a07UKvZ3s56XyjPLMRoaaq,你猜我今天碰见谁了.,nǐ cāi wǒ jīn tiān pèng jiàn shéi le.,Guess who I ran into today.
nUkDXFiAK8FacnWWAXHduc,今天早晨我醒得很迟。,jīn tiān zǎo chén wǒ xǐng de hěn chí。,I awoke late this morning.
dHdpACk0NhDTCwyr7ScVzK,人们陆续进入教堂.,rén men lù xù jìn rù jiào táng.,The procession moved into the church.
fUWodTP6rmGUkWOvzopgZ4,败军很快就投降了。,bài jūn hěn kuài jiù tóu xiáng le。,The beaten army soon surrendered.
j2A4F1zRakUxnzemqY45Lf,傍晚时地面变凉。,bàng wǎn shí dì miàn biàn liáng。,The ground cools off toward evening.
isMJ4Bj8SxVfs47PwOR6BL,划船把我送到对岸去吧.,huà chuán bǎ wǒ sòng dào duì àn qù ba.,Row me across (the river).
5BjWJVAqwDKKi1gJLBnxnv,前途似乎有点不妙.,qián tú sì hu yǒu diǎn bù miào.,The future does not seem very hopeful.
1I3uUIpD6V0p0xkBlmaXjh,我及时参加了会议。,wǒ jí shí cān jiā le huì yì。,I went to attend the meeting betimes.
pKgFPZ6zRSSDKbMMATJU0f,这汤里有鸡肉的味道。,zhè tāng lǐ yǒu jī ròu de wèi dao。,This soup tastes of chicken.
xZM4jGNvW0wevGTB5jlZQB,命运把我们连在一起了.,mìng yùn bǎ wǒ men lián zài yī qǐ le.,Destiny drew us together.
SB5kG3CiDuiLzDd6uKYrPo,傍晚时地面变凉。,bàng wǎn shí dì miàn biàn liáng。,The ground cools off toward evening.
wCjQKfCF7CauIfxEZWifh7,文学是时代的镜子。,wén xué shì shí dài de jìng zi。,Literature is a mirror of its time.
I2tZoiK8NrwD8yXQWkMpCQ,圆环沿人行道滚动.,yuán huán yàn rén xìng dào gǔn dòng.,The hoop rolled along the pavement.
lr7E0tUdyzSoQanh2bkLNx,地球环绕太阳运行。,dì qiú huán rào tài yáng yùn xíng。,The earth revolves round the sun.
Iavhm1RFRgu3kuPebAN8LS,我认为那绝对必要。,wǒ rèn wéi nà jué duì bì yào。,I consider it absolutely necessary.
lhbPm7Gw3dTb8AVyNvc6dq,她似乎时来运转了。,tā sì hu shí lái yùn zhuǎn le。,Her luck seems to have taken an upturn.
FclSaT1zNHIqUmjKqa2tYF,他保存了很多剪报。,tā bǎo cún le hěn duō jiǎn bào。,He saved many cuttings from newspaper.
cAMn685tkHDMF27UnpkncY,把围巾围在你的脖子上.,bǎ wéi jīn wéi zài nǐ de bó zi shàng.,Wrap a scarf round your neck.
CI2YKYTSTo7bp73oXCiBrN,他靠写小说维生。,tā kào xiě xiǎo shuō wéi shēng。,He earned his bread by writing novels.
nbTRBAWBsaLVWjHYHtdXQ2,我真是非常抱歉了。,wǒ zhēn shì fēi cháng bào qiàn le。,I can't tell you how sorry I am.
RCiluwy1s46qSHG0VXYRvD,她的围巾被油弄脏了。,tā de wéi jīn bèi yóu nòng zāng le。,Her kerchief is dirty with oil.
SkHVcVlnCFmBez4Zz3aSa2,胃液能帮助消化。,wèi yè néng bāng zhù xiāo huà。,Gastric juices help us digest our food.
rCLsxw8NimOJmoLnTkeDcg,每逢下雨屋顶就漏雨.,měi féng xià yǔ wū dǐng jiù lòu yǔ.,The roof leaks whenever it rains.
SRKnQ3MacG4Rfcyw1rq2FV,用功的学生有前途。,yòng gōng de xué sheng yǒu qián tú。,Promising is a diligent student.
w0ZGUUdtSaOMlM4fay2Xai,这些蔬菜需要加些盐。,zhè xie shū cài xū yào jiā xiē yán。,The vegetables need more salt.
rpJww3emvQiypIqAamWJww,保险丝盒子在厨房里。,bǎo xiǎn sī hé zi zài chú fáng lǐ。,The fuse-box is in the kitchen.
unjawNSN8hBuIC1lzB74UE,她和他的感受相同。,tā huò tā de gǎn shòu xiāng tóng。,She felt just the same as he did.
SwyJbQmczbjD0ZgvnZVHQt,"请他来坐坐, 聊聊天.","qǐng tā lái zuò zuò,  liáo liáo tiān.",Ask him to stop by for a chat.
f01PpKZ0lyac1zYITOqykS,他邀请我们参加晚会。,tā yāo qǐng wǒ men cān jiā wǎn huì。,He invited us to the party.
wXQRunfGP663KefeUSl2B0,典礼进行得很顺利.,diǎn lǐ jìn xíng de hěn shùn lì.,The ceremony went off without a hitch.
Merb5ilrXvBh3vpeUWetSp,那位母亲生产顺利。,nà wèi mǔ qīn shēng chǎn shùn lì。,The mother had an easy delivery.
a7EPIN223TQiEoz74gabpL,他是我们产品的买主。,tā shì wǒ men chǎn pǐn de mǎi zhǔ。,He is a buyer of our products.
aOdhuMtXgTJCbnTzE8d6tD,他把球踢到看台上了。,tā bǎ qiú tī dào kàn tái shàng le。,He kicked the ball to the stand.
wtxU58AcIW6pAJTYbsCrF6,追求崇高的政治目标,zhuī qiú chóng gāo de zhèng zhì mù biāo,Pursue lofty political goals.
MtzHlavBrOnDvlq7NZQIIq,有人把我的手套拿走了.,yǒu rén bǎ wǒ de shǒu tào ná zǒu le.,Someone has taken my gloves.
7rWUt6Pg0uKmSwqlb1r3AB,细菌用肉眼看不见。,xì jūn yòng ròu yǎn kàn bù jiàn。,Germs are invisible to the naked eye.
SakkHxHHl45lFn4yCBaVIf,他的情况稳定下来了.,tā de qíng kuàng wěn dìng xia lai le.,His condition has now stabilized.
LdZbbEv2dbz7EgaAvWz1PA,六十分等于一小时。,liù shí fèn děng yú yī xiǎo shí。,Sixty minutes is equal to an hour.
BQlo3yd0FwLapMvi3aHSS5,中国人用筷子吃饭。,Zhōng guó rén yòng kuài zi chī fàn。,The Chinese eat with chopsticks.
au8W8CRFLDURFeQnHD03jl,我下周有几个约会.,wǒ xià zhōu yǒu jǐ ge yuē huì.,I have several engagements for next week.
cEtzMRUO7fjct53BnAYCxT,他的行为缺乏一致性。,tā de xíng wéi quē fá yī zhì xìng。,His action lacks consistency.
B6RFk1pSVo5aL6TdYC31Na,他们的生活就是一首诗。,tā men de shēng huó jiù shì yī shǒu shī。,Their lives are a poem.
UdxFUfRaTPhF313BFa7VAA,今天我请客。我来付。,jīn tiān wǒ qǐng kè。 wǒ lái fù。,It's my treat today. I'll pay.
eUXuea5Inpqa2Efa4mUhtf,乐队在给乐器调音。,yuè duì zài jǐ yuè qì tiáo yīn。,The orchestra tuned their instruments.
hSOjGh22XuY17FcjUjONAA,她把海报贴在墙上了.,tā bǎ hǎi bào tiē zài qiáng shàng le.,She pasted posters onto the wall.
EPu5CFeQS7xVgTg07yiyXs,我们的水果充足有余.,wǒ men de shuǐ guǒ chōng zú yǒu yú.,We have enough fruit and to spare.
ANfP5pnMhRQQBqTfliTk1a,猫把我的围巾撕烂了。,māo bǎ wǒ de wéi jīn sī làn le。,The cat has torn my scarf to ribbons.
FtZAjoJx0ZtoWRHA0dDupc,他是个自命不凡的官员。,tā shì gè zì mìng bù fán de guān yuán。,He is a pompous official.
1BYvOqu7W7fRxdi0He4JBO,他写的文章尖锐深刻。,tā xiě de wén zhāng jiān ruì shēn kè。,He writes with penetration.
ahW7Dl4ufOIdjkBiMaGTcV,录音机的插头没插上.,lù yīn jī de chā tóu mò chā shàng.,The recorder wasn't plugged in.
qoxLUhWafXTrLIvBmTSMwY,见面时，他拥抱了她。,jiàn miàn shí， tā yōng bào le tā。,He enfolded her when they met.
aLMe5jtbOtfRR4biQ73L74,他摇了摇头表示反对。,tā yáo le yáo tou biǎo shì fǎn duì。,He shook his head in disapproval.
fF4iBw2xFNgkDean5OuKqu,他们热烈欢迎女王.,tā men rè liè huān yíng nu:3 wáng.,They extended the Queen a warm welcome.
I6wxqq6HXCn50Fi2BaMobT,他们把种子撒在地里。,tā men bǎ zhǒng zi sǎ zài de lǐ。,They strewed seeds over the earth.
kOzQA5IDl6w3b0DNPownon,我正在等待他们的答复。,wǒ zhèng zài děng dài tā men de dá fù。,I am awaiting their reply.
ovdEx8VqiZvkWMLyoryNg5,我的话不是针对你的。,wǒ de huà bú shì zhēn duì nǐ de。,My remarks were not aimed at you.
GllKaB7j86z0EOdy5EEV0E,她喜欢香肠和土豆泥。,tā xǐ huan xiāng cháng huò tǔ dòu nì。,She loves sausage and mash.
KZ6xTwWUHhTENWx6aucoMx,他仍是健康的典范。,tā réng shì jiàn kāng de diǎn fàn。,He is still a fine specimen of health.
asZm7faMtJ7LUoQ4dZ5Qyf,他保存了很多剪报。,tā bǎo cún le hěn duō jiǎn bào。,He saved many cuttings from newspaper.
E5nbYw04iTK0atJiwMFacW,问题的关键就在那里.,wèn tí de guān jiàn jiù zài nà li.,Therein lies the crux of the matter.
CO7nivwIradXFF3TytKa0k,保险丝盒子在厨房里。,bǎo xiǎn sī hé zi zài chú fáng lǐ。,The fuse-box is in the kitchen.
NLCORvolaNPk6xNwDvzk26,我想帮忙你捆扎东西。,wǒ xiǎng bāng máng nǐ kǔn zhá dōng xi。,I would like to help you pack.
HuWe7KmiVaeRJnwtbrbLhs,我已来不及做准备了.,wǒ yǐ lái bù jí zuò zhǔn bèi le.,I had no time in which to prepare.
qaXiNj2yr3cLJxG0WgFjnb,雨后气温下降了。,yǔ hòu qì wēn xià jiàng le。,There was a descent of temperature after rain.
EMkMeZlrevT1LDwTzGISvJ,眼泪顺着她的脸流下。,yǎn lèi shùn zhuó tā de liǎn liú xià。,Down her face ran the tears.
uiX3aaHOKXEZGyqSeIJdNF,落日把天空染成金色。,luò rì bǎ tiān kōng rǎn chéng jīn sè。,The setting sun gilds the sky.
xmfMycfTlQOyPqlIkbLK1A,他用低沉的语调说话。,tā yòng dī chén de yǔ diào shuō huà。,He spoke in sepulchral tones.
N4R6udSKAm1TaqtCnRXLSQ,他身体在逐步好起来。,tā shēn tǐ zài zhú bù hào qǐ lai。,He is getting better by degrees.
U0aqwdeL2PUXZdSKzTQdno,部队昨晚严阵以待。,bù duì zuó wǎn yán zhèn yǐ dài。,The troops were embattled last night.
6sFjfkhfKKBIxlFK84T53A,他被选为会议主席。,tā bèi xuǎn wèi huì yì zhǔ xí。,He was elected chairman of the meeting.
awr1YMwMNanwxnv12Vvd3S,这些商品大量供应。,zhè xie shāng pǐn dà liàng gōng yìng。,These goods are freely available.
EsBMSkLNA2FW5sIFItlIv5,他没受处分就过去了。,tā mò shòu chǔ fēn jiù guò qu le。,He was let off without punishment.
nSJwIP3jcdGBRknDlVIaf8,他绝望地放弃了斗争.,tā jué wàng de fàng qì le dòu zhēng.,He gave up the struggle in despair.
qT8JN4Np7YQzYTdx7OKOdp,节省能源十分重要.,jié shěng néng yuán shí fēn zhòng yào.,It is important to conserve energy.
Gh5UbPrRccums1xWJoVWdL,但愿有草地与小羊。,dàn yuàn yǒu cǎo dì yù xiǎo yáng。,I wish there were meadows and lambs.
3YqhshtNtyDdiEvmonksxn,人们请求政治避难。,rén men qǐng qiú zhèng zhì bì nàn。,The people ask for political asylum.
fXOC0XaMRUjIdWU51QcegE,她冲到门口躲藏起来.,tā chòng dào mén kǒu duǒ cáng qǐ lai.,She darted into the doorway to hide.
FacT6v1LXOEtgHXuLpahT7,有个气球从空中飘过.,yǒu gè qì qiú zòng kōng zhōng piāo guò.,A balloon floated across the sky.
6lyFtjOLb5MUHWTVWpVVag,职员们在专心工作。,zhí yuán men zài zhuān xīn gōng zuò。,The clerks are at work attentively.
6k5H3VCj5atho5YFkblClR,他专门研究东方史。,tā zhuān mén yán jiū dōng fāng shǐ。,He specializes in oriental history.
LWs41zFeDZSQGZbYKGHe8N,价格仍然在急剧上涨。,jià gé réng rán zài jí jù shàng zhǎng。,Prices are still spiralling.
gsup8CEBfh5Rd2PzLB6Pog,价格仍然在急剧上涨。,jià gé réng rán zài jí jù shàng zhǎng。,Prices are still spiralling.
tJ0wPSdVVezhsUNRR5tDcX,鱼离开水就不能呼吸。,yú lí kāi shuǐ jiù bù néng hū xī。,Fish cannot breathe out of water.
3CEodfRNqGJIcPhthR6yqG,我们主要的出口货是大米.,wǒ men zhǔ yào de chū kǒu huò shì dà mǐ.,Our main export is rice.
15npzsgywCbfXmbRqHQLWE,他是个很难对付的人。,tā shì gè hěn nàn duì fu de rén。,He was a difficult man to deal with.
mNMpcU0UckrHOjRiCejItY,他在地上树起了一根杆子.,tā zài dì shang shù qǐ le yī gēn gǎn zi.,He set a post in the ground.
CDFLbbutBWTNdCZ4YYhKam,我们散步穿过树林。,wǒ men sàn bù chuān guò shù lín。,We went for a ramble through the woods.
mi0JusUnFZBK5AfD6bfLT0,不要动不动就挑毛病.,bù yào dòng bù dòng jiù tiǎo máo bìng.,Don't be so ready to find fault.
PoGVCHbxkQg2IVlL2PUGiZ,她送给我们一台洗衣机.,tā sòng jǐ wǒ men yī tái xǐ yì jī.,She gave us a washing-machine.
dZLwXXLUDuFHvhFhFxbpCu,我们把奶油涂到面包上。,wǒ men bǎ nǎi yóu tú dào miàn bāo shàng。,We spread butter on bread.
7G5TwuJkEwEoPt5XWtsnLA,肥皂从我手上滑落了。,féi zào zòng wǒ shǒu shàng huá luò le。,The soap slipped out of my hand.
s628Hgne4awo1Z7FfXKNPt,这件衣服我穿腰部太瘦.,zhè jiàn yī fu wǒ chuān yāo bù tài shòu.,The waist is too tight for me.
EqOhaWYETaSQl05I4Bwt72,你不能自己去登山。,nǐ bù néng zì jǐ qù dēng shān。,You can't go mountain climbing by yourself.
rZHaMiZ7qfmjiwN6Lpc1Dd,河的那边是私人的土地。,hé de nà bian shì sī rén de tǔ dì。,Over the river is private land.
imlwPa5R2TPLXJbAdACip7,我没心情和你聊天。,wǒ mò xīn qíng huò nǐ liáo tiān。,I am in no mood for chatting with you.
pRBgLa2YNCmJmabMvvlwrX,他把毛巾系在脖子上。,tā bǎ máo jīn xì zài bó zi shàng。,He knotted a towel about his neck.
O333HRdVtIMvqii4gyRzOx,请把这个消息转告她。,qǐng bǎ zhè gè xiāo xi zhuǎn gào tā。,Please pass on the news to her.
aTmiOE0PHkjheYS4WetGJP,我的心情慢慢轻松起来.,wǒ de xīn qíng màn màn qīng sōng qǐ lai.,My mood gradually lightened.
a2MAQKiX16GCobSIRJyDMz,我的计划逐渐成熟。,wǒ de jì huà zhú jiàn chéng shú。,My plan has gradually come to maturity.
5LgOLsKxCdOQji4jaFULE4,他在面条里放了些醋。,tā zài miàn tiáo lǐ fàng le xiē cù。,He put some vinegar in the noodles.
85GpVQw2Ly3iAJl8Ov8pOW,首先，画一条水平线。,shǒu xiān， huà yī tiáo shuǐ píng xiàn。,"First, draw a horizontal line."
3vYFzsLw4eea0kFeTYMKMd,他观察事物很正确.,tā guān chá shì wù hěn zhèng què.,He sees things in their right perspective.
NQGBfmlDtegReT3U5NoIWQ,他从事于医学的研究。,tā cóng shì yú yī xué de yán jiū。,He was engaged in medical research.
DF6PX3PdMzAbotBRsj4cif,我们认为他值得信任。,wǒ men rèn wéi tā zhí de xìn rèn。,We esteem him to be worthy of trust.
5OQjuLKSsfIzA61iqCD214,别对你兄弟这么刻薄。,biè duì nǐ xiōng dì zhè me kē bó。,Don't be so unkind to your brother.
h5bSmG3w1m1Hbrw4WZlNyO,女人经常受男人压迫.,nu:3 rén jīng cháng shòu nán rén yā pò.,Women are often oppressed by men.
mINj3pchIyxvKaIor60I8a,我曾认为这可能是真的。,wǒ zēng rèn wéi zhè kě néng shì zhēn de。,I thought it might be true.
2HJMTbWUZFWWfb2dNAuATH,桌面是一块石板。,zhuō miàn shì yī kuài shí bǎn。,The top of the table was formed by a stone slab.
dqMF8s4AziB5E3sSorTXN7,他斜靠在沙发的背上。,tā xié kào zài shā fā de bèi shàng。,He leant on the back of the sofa.
mETRZaBqLPBJR7q2pFFZg7,我特此宣布，她当选了。,wǒ tè cǐ xuān bù， tā dāng xuǎn le。,I hereby declare her elected.
E1GX3zmEoPS62J8wrhsoQn,她对新环境不习惯。,tā duì xīn huán jìng bù xí guàn。,She is not used to the new environment.
pfTu6J5UyOzYq7HyxHVAnK,这笔生意是无利可图的。,zhè bǐ shēng yi shì wú lì kě tú de。,This business is unprofitable.
BQhBa2fddfLVC4BbWLWTEK,他被感动得流下了眼泪。,tā bèi gǎn dòng de liú xià le yǎn lèi。,He was softened into tears.
XtmEtZoECjw0lUKlRFkQk3,他吃惊地睁大了眼睛。,tā chī jīng de zhēng dà le yǎn jīng。,He opened his eyes wide in surprise.
vFOzYcE8LI63UA16pIqnk1,我的办公室通风良好。,wǒ de bàn gōng shì tōng fēng liáng hǎo。,My office is well ventilated.
SwYLN15ZkNZSRm06pobxdu,她对著镜子转了一圈.,tā duì著 jìng zi zhuàn le yī quān.,She did a twirl in front of the mirror.
qNbW5TqOMev4VSlLld4ch2,这题目使我很感兴趣.,zhè tí mù shǐ wǒ hěn gǎn xìng qu.,This subject is very close to my heart.
BsFRsBQ3ZWUqYMEQR8m5Yq,"专心工作, 不要说话.","zhuān xīn gōng zuò,  bù yào shuō huà.",Attend to your work and stop talking.
ZCXtwGnJwE62EGpAt11oda,她对她的孩子们很严格。,tā duì tā de hái zi men hěn yán gé。,She is strict with her children.
7BzHRiklTcZjm253I0sr5l,把食品装罐加以保存。,bǎ shí pǐn zhuāng guàn jiā yǐ bǎo cún。,Food is tinned to preserve it.
Wi7t8jaSnsXDg4tir6fnUb,想催她快点是没用的.,xiǎng cuī tā kuài diǎn shì méi yòng de.,It's no use trying to make her hurry.
OkrkTLGDOyaiPG4T6ihCBK,共产党员是无神论者。,gòng chǎn dǎng yuán shì wú shén lùn zhě。,The communist is atheist.
xwuTX6SgTK0MsPNNUv6Idc,他勇敢地忍受着困苦。,tā yǒng gǎn de rěn shòu zhuó kùn kǔ。,He bore his tribulations bravely.
UZKdys6WDD4O2Riyhj6U6s,情况始终都在变化。,qíng kuàng shǐ zhōng dōu zài biàn huà。,Conditions are changing all the time.
yLjhQel2JDy8JNTcTjTbvE,你的合同已经被终止。,nǐ de hé tong yǐ jīng bèi zhōng zhǐ。,Your contract has been terminated.
MCmQwveWmHPDmiF7gKsbLd,我们考虑是否要告诉她。,wǒ men kǎo lu:4 shì fǒu yào gào su tā。,We pondered whether to tell her.
CygU26m2tS7UWEKazsNo1V,为翻越山脉的不断努力,wèi fān yuè shān mài de bù duàn nǔ lì,A long pull across the mountains.
hMjya5cfCDF2MqFM5VnNs7,房子和教堂是建筑物。,fáng zi huò jiào táng shì jiàn zhù wù。,Houses and churches are buildings.
cl81pZyVd0nKuLPfwTmySj,他把两手插入衣袋里。,tā bǎ liǎng shǒu chā rù yì dài lǐ。,He thrust his hands into his pockets.
z7ugjzPfZavLLZCaIKZXCn,这仅仅是个大概数字。,zhè jǐn jǐn shì gè dà gài shù zì。,This is just an approximate figure.
vc4g8MKYeg0VNd8Wm2LFdK,这阵风来自西北方。,zhè zhèn fēng lái zì xī běi fāng。,The wind is in the northwestern direction.
Pty3Z2N1e8ynkkOCfwKmw1,我想要朴素而文静的。,wǒ xiǎng yào pǔ sù ér wén jìng de。,I'd like something plain and quiet.
M6r4U2yAFxTA51qeLJalim,警察问我是否有枪。,jǐng chá wèn wǒ shì fǒu yǒu qiāng。,The police asked me if I possessed a gun.
tMNlt8sT4KgH0peDHIbmWS,他把书放回到书架上。,tā bǎ shū fàng huí dào shū jià shàng。,He replaced the book in the shelf.
BODdlJKO1YiyoePPbCTOMW,这个玻璃盘子很容易碎。,zhè gè bō li pán zi hěn róng yì suì。,This glass plate is very fragile.
s16EJK8LXXSopuauJYjLFX,他的答案不能令人满意。,tā de dá àn bù néng lìng rén mǎn yì。,His answer is unsatisfactory.
ASAAu3IdsQ1bUwjrVEKdZd,他落入敌人设的圈套。,tā luò rù dí rén shè de juān tào。,He fell into a snare laid by his enemy.
hsScHAAFQf2NTy1qQKrgvI,解铃还需系铃人。,xiè líng huán xū xì líng rén。,It's better for the doer to undo what he has done.
5m1EMUpj3EbWeFu67k8O3o,香蕉通常按重量卖.,xiāng jiāo tōng cháng àn zhòng liàng mài.,Bananas are usually sold by weight.
sSyBrVZDiCJDthakkYbFUk,导弹在护卫之下转移.,dǎo dàn zài hù wèi zhī xià zhuǎn yí.,The missiles were moved under convoy.
qwdIdYlpMYZIG3ZNdAiZfC,我将亲自过问此事.,wǒ jiàng qīn zì guò wèn cǐ shì.,I shall give the matter my personal attention.
TWRhLTtREDBTnQ5pIAVDxs,公司供给我一辆汽车.,gōng sī gōng gěi wǒ yī liàng qì chē.,The firm have provided me with a car.
kS5dGKYgtqubOqvwsTyNF7,他已建立起自己的公司。,tā yǐ jiàn lì qǐ zì jǐ de gōng sī。,He has established his own firm.
Afe2mthVrn2Vcb8eAeUyez,新闻界的力量非常大。,xīn wén jiè de lì liang fēi cháng dà。,The power of the press is very great.
azgmsbgGvfi6ikUCDugfv3,请说出你的姓名和地址。,qǐng shuō chū nǐ de xìng míng huò dì zhǐ。,State your name and address.
tWtogFRireMtnEvnvCSFxJ,水正从管子里喷出来。,shuǐ zhèng zòng guǎn zi lǐ pèn chū lái。,Water is spouting out of the pipe.
K2HdRxEmcEJAwOmmSmotYM,我们的地位可以改善。,wǒ men de dì wèi kě yǐ gǎi shàn。,Our position is capable of improvement.
8annuC4syX7wZ1KUTE4ysC,他是施舍的适当对象。,tā shì shī shè de shì dàng duì xiàng。,He is a proper object of charity.
01E6uMiqxqltl3ADTvjqJd,那是我想象不到的。,nà shì wǒ xiǎng xiàng bù dào de。,That's beyond the reach of my imagination.
4Up7LscGqU0hPUdafaePaS,我认真地按指示办事.,wǒ rèn zhēn de àn zhǐ shì bàn shì.,I followed the instructions religiously.
kLaaRvG8pinVBxIomthu1Q,他们把箭射向敌人。,tā men bǎ jiàn shè xiàng dí rén。,They discharged their arrows at the enemy.
wBPa8m0fIuLT51yL3F1yC5,她写的字从左往右斜.,tā xiě de zì zòng zuǒ wàng yòu xié.,Her handwriting slants from left to right.
DZwuPucaTD1G02Scn4dEct,欢呼声在逐渐消失。,huān hū shēng zài zhú jiàn xiāo shī。,The sound of the cheering faded away.
TedLXlJY0KtCFsGUXAgacJ,激动使我的心跳加快。,jī dòng shǐ wǒ de xīn tiào jiā kuài。,The excitement quickened my pulse.
sNfW8BU0Bu7weIV14WWygg,他的解释充满矛盾。,tā de jiě shì chōng mǎn máo dùn。,His explanation is full of contradictions.
ccIOAOXZKoYxnkyF1Y3yBi,我们把小麦磨成面粉。,wǒ men bǎ xiǎo mài mò chéng miàn fěn。,We grind up the wheat to make flour.
hFQekSHnti3v7C1xdDQaAz,水正从管子里喷出来。,shuǐ zhèng zòng guǎn zi lǐ pèn chū lái。,Water is spouting out of the pipe.
zMlHdEZroy6MBkcj0BCNeJ,排水系统已经老化了。,pái shuǐ xì tǒng yǐ jīng lǎo huà le。,The drainage system has been aged.
b4IbFT0i4TGxiQX4fk32FX,这些苹果生了很多虫子.,zhè xie píng guǒ shēng le hěn duō chóng zi.,The apples are full of worms.
oBx7xXlNZSuMmJw8Ey0Ees,他的工作是做国内贸易。,tā de gōng zuò shì zuò guó nèi mào yì。,He worked in internal trade.
yUtbZcYJkXmg85yQf3QIqn,请递给我一张纸巾。,qǐng dì jǐ wǒ yī zhāng zhǐ jīn。,Please pass me a piece of paper handkerchief.
5rOYsaIylTLzFaTqZPfgoS,事实证明了这些说法。,shì shí zhèng míng le zhè xie shuō fa。,The truth verified the allegations.
U3cWA1JnjCpFayPpT6sKMv,她是个优秀的管理人员.,tā shì gè yōu xiù de guǎn lǐ rén yuán.,She's an excellent administrator.
nJR2wXRumZXnQnJH4NWPH3,他的中国功夫是无敌的。,tā de Zhōng guó gōng fu shì wú dí de。,His Chinese kung fu is peerless.
QymUFVyso6YXYIoE1QzuWL,温度有细微的变化。,wēn dù yǒu xì wēi de biàn huà。,There is an imperceptible change in temperature.
XRdDsLBdRxijJNpEZIoeVq,别着急，安心养病。,biè zháo jí， ān xīn yǎng bìng。,Just take care of yourself and don't worry.
NrAirLrDuDgzc08jpZ68ax,我实在讨厌让我等着。,wǒ shí zài tǎo yàn ràng wǒ děng zhuó。,I really hate being kept waiting.
8QslBZGqoa6STraI8kPW1v,土太干了，不能种东西。,tǔ tài gàn le， bù néng zhòng dōng xi。,The soil is too dry for planting.
QPqPnqSAG5B0QQbhgKc1VI,他的想法和我的不一致。,tā de xiǎng fǎ huò wǒ de bù yī zhì。,His ideas do not conform to mine.
CmeUqigHqF63w1jBQmVNM7,这出戏得到很好的评价。,zhè chū xì dé dào hěn hǎo de píng jià。,The play was very well reviewed.
4Zo8nQYx6JXFzmKzztdLRx,他把手表拆开来修理。,tā bǎ shǒu biǎo chāi kāi lái xiū lǐ。,He took the watch apart to repair it.
fzNHM6HnMwLDhUKBW3JVT2,他在一家私人企业工作。,tā zài yī jiā sī rén qǐ yè gōng zuò。,He works in a private enterprise.
5uYENKT3JvPr7FTgyLgMDK,她因缺乏营养而虚弱。,tā yīn quē fá yíng yǎng ér xū ruò。,She is weak from lack of sustenance.
