No,Word,Pinyin,Chinese_Sentence,English_Translation
333,时候,nà gè shí hou wǒ bù rèn shi tā.,那个时候我不认识他。,I didn't know him at that time.
334,时间,nǐ yǒu shí jiān ma？,你有时间吗？,Do you have time?
335,事,zhè jiàn shì hěn fù zá.,这件事很复杂。,This thing is complicated.
336,试,wǒ kě yǐ shì yí xià xié zi ma？,我可以试一下鞋子吗？,Can I try on the shoes?
337,是,nǐ shì xué sheng ma？,你是学生吗？,Are you a student?
338,是不是,tā shì bú shì lǎo bǎn？,他是不是老板？,Is he the boss?
339,手,wǒ yào xǐ shǒu.,我要洗手。,I want to wash my hands.
340,手机,wǒ de shǒu jī méi diàn le.,我的手机没电了。,My cell phone is out of battery.
341,书,nǐ xǐ huan kàn shén me shū？,你喜欢看什么书？,What type of books do you like to read?
342,书包,nǐ de shū bāo lǐ yǒu shén me？,你的书包里有什么？,What's in your school bag?
343,书店,zhè jiā shū diàn yíng yè èr shí sì xiǎo shí.,这家书店营业二十四小时。,The bookstore is open twenty-four hours.
344,树,zhè shì shén me shù？,这是什么树？,What type of tree is this?
345,水,nǐ měi tiān hē jǐ bēi shuǐ？,你每天喝几杯水？,How many glasses of water do you drink per day?
346,水果,nǐ zuì xǐ huan chī shén me shuǐ guǒ？,你最喜欢吃什么水果？,What's your favorite fruit?
347,睡,nǐ měi tiān shuì duō shao gè xiǎo shí？,你每天睡多少个小时？,How many hours do you sleep per day?
348,睡觉,nǐ jǐ diǎn shuì jiào？,你几点睡觉？,What time do you sleep?
349,说,nǐ huì shuō hàn yǔ ma？,你会说汉语吗？,Do you speak Chinese?
350,说话,bié shuō huà.,别说话。,Don't talk.
351,四,tā hē le sì píng kě lè.,他喝了四瓶可乐。,He drank four bottles of coke.
352,送,nǐ kě yǐ sòng gěi wǒ ma？,你可以送给我吗？,Can you give it to me (as a gift)?
353,岁,wǒ gē ge sān shí suì le.,我哥哥三十岁了。,My elder brother is thirty years old.
354,他,nǐ tǎo yàn tā ma？,你讨厌他吗？,Do you hate him?
355,他们,tā men shì tóng xué.,他们是同学。,They are classmates.
356,她,tā shì wǒ nǚ péng you.,她是我女朋友。,She is my girlfriend.
357,她们,tā men shì shuāng bāo tāi.,她们是双胞胎。,They (for females) are twins.
358,太,tài xiǎo le.,太小了。,It's too small.
359,天,wǒ yào chū chāi shí tiān.,我要出差十天。,I'm going on a business trip for ten days.
360,天气,jīn tiān tiān qì zhēn hǎo.,今天天气真好。,The weather is so nice today.
361,听,nǐ xǐ huan tīng zhōng wén gē ma？,你喜欢听中文歌吗？,Do you like to listen to Chinese songs?
362,听到,nǐ tīng dào le ma？,你听到了吗？,Did you hear it?
363,听见,nǐ tīng jiàn léi shēng le ma？,你听见雷声了吗？,Did you hear the thunder?
364,听写,wǒ men yào tīng xiě shēng cí.,我们要听写生词。,We are going to dictate the new words.
365,同学,tā shì wǒ de dà xué tóng xué.,她是我的大学同学。,She is my college classmate.
366,图书馆,tú shū guǎn zài nǎ lǐ？,图书馆在哪里？,Where is the library?
367,外,nǐ de pī sà zài mén wài.,你的披萨在门外。,Your pizza is outside the door.
368,外边,wài bian fēng hěn dà.,外边风很大。,It's very windy outside.
369,外国,nǐ xǐ huan kàn wài guó diàn yǐng ma？,你喜欢看外国电影吗？,Do you like to watch foreign movies?
370,外语,nǐ xiǎng xué shén me wài yǔ？,你想学什么外语？,What foreign language do you want to learn?
371,玩儿,wǒ men yī qǐ wánr ba！,我们一起玩儿吧！,Let's play together！
372,晚,tài wǎn le.,太晚了。,It's too late
373,晚饭,wǎn fàn zuò hǎo le.,晚饭做好了。,Dinner is ready.
374,晚上,wǎn shang hǎo！,晚上好！,Good evening!
375,网上,wǒ men shì zài wǎng shàng rèn shi de.,我们是在网上认识的。,We met online.
376,网友,tā yǒu hěn duō wǎng yǒu.,他有很多网友。,He has many friends on the internet.
377,忘,bié wàng le mǎi miàn bāo.,别忘了买面包。,Don't forget to buy bread.
378,忘记,wǒ bù huì wàng jì de.,我不会忘记的。,I won't forget.
379,问,nǐ kě yǐ wèn lǎo shī.,你可以问老师。,You can ask the teacher.
380,我,nǐ ài wǒ ma？,你爱我吗？,Do you love me?
381,我们,wǒ men dōu shuō zhōng wén.,我们会说中文。,We can speak Chinese.
382,五,tā xué zhōng wén wǔ nián le.,他学中文五年了。,He has been studying Chinese for five years.
383,午饭,nǐ chī wǔ fàn le ma？,你吃午饭了吗？,Did you have lunch?
384,西,tā de fáng zi cháo xī.,他的房子朝西。,His house faces west.
385,西边,yī yuàn zài xué xiào xī bian.,医院在学校西边。,The hospital is on the west side of the school.
386,洗,nǐ kě yǐ bāng wǒ xǐ chē ma？,你可以帮我洗车吗？,Can you wash my car for me?
387,洗手间,xǐ shǒu jiān zài èr lóu.,洗手间在二楼。,The washroom is on the second floor.
388,喜欢,nǐ xǐ huan chī shén me？,你喜欢吃什么？,What do you like to eat?
389,下,nǐ xià fēi jī le ma？,你下飞机了吗？,Did you get off the plane?
390,下班,nǐ jǐ diǎn xià bān？,你几点下班？,What time do you get off work?
391,下边,nǐ de bǐ zài zhuō zi xià bian.,你的笔在桌子下边。,Your pen is under the table.
392,下车,wǒ zài xià yí gè lù kǒu xià chē.,我在下一个路口下车。,I get off at the next intersection.
393,下次,xià cì jiàn！,下次见！,See you next time!
394,下课,nǐ jīn tiān jǐ diǎn xià kè？,你今天几点下课？,What time do you finish class today?
395,下午,nǐ xià wǔ yǒu kòng ma？,你下午有空吗？,Are you free this afternoon?
396,下雨,míng tiān huì xià yǔ.,明天会下雨。,It will rain tomorrow.
397,先,wǒ men xiān zuò zuò yè， zài kàn diàn shì.,我们先做作业，再看电视。,We do our homework first and then watch TV.
398,先生,nǐ shì gāo xiān sheng ma？,你是高先生吗？,Are you Mr. Gao?
399,现在,xiàn zài jǐ diǎn？,现在几点？,What time is it now?
400,想,wǒ xū yào xiǎng yí xià.,我需要想一下。,I need to think about it.
401,小,wǒ de jiā hěn xiǎo.,我的家很小。,My home is small.
402,小孩儿,nǐ yǒu xiǎo háir ma？,你有小孩儿吗？,Do you have children?
403,小姐,zhè shì zhào xiǎo jiě.,这是赵小姐。,This is Miss Zhao.
404,小朋友,nà gè xiǎo péng you hěn kě ài.,那个小朋友很可爱。,That kid is so cute.
405,小时,nǐ měi tiān gōng zuò jǐ gè xiǎo shí？,你每天工作几个小时？,How many hours do you work per day?
406,小学,tā shì xiǎo xué lǎo shī.,她是小学老师。,She is an elementary school teacher.
407,小学生,nà gè xiǎo xué shēng hěn gāo.,那个小学生很高。,That elementary school student is tall.
408,笑,tā zài xiào shén me？,他在笑什么？,What is he laughing at?
409,写,nǐ huì xiě hàn zì ma？,你会写汉字吗？,Can you write Chinese characters?
410,谢谢,xiè xie！,谢谢！,Thank you！
411,新,zhè shì nǐ de xīn shǒu jī ma？,这是你的新手机吗？,Is this your new phone?
412,新年,xīn nián kuài lè！,新年快乐！,Happy New Year!
413,星期,wǒ xià gè xīng qī yào bān jiā.,我下个星期要搬家。,I'm moving next week.
414,星期日,wǒ zhè gè xīng qī rì yǒu zhōng wén kè.,我这个星期日有中文课。,I have Chinese class this Sunday.
415,星期天,nǐ zhè gè xīng qī tiān yǒu kòng ma？,你这个星期天有空吗？,Are you free this Sunday?
416,行,xíng ma？,行吗？,Is it OK?
417,休息,nǐ yào xiū xi ma？,你要休息吗？,Do you want to rest?
418,学,nǐ xué zhōng wén duō jiǔ le？,你学中文多久了？,How long have you been studying Chinese?
419,学生,tā shì yí gè hǎo xué sheng.,他是一个好学生。,He is a good student.
420,学习,nǐ xiǎng xué xí ma？,你想学习吗？,Do you want to study?
421,学校,zhè gè xué xiào zěn me yàng？,这个学校怎么样？,How is this school?
422,学院,zhè gè xué yuàn dà ma？,这个学院大吗？,Is this college big?
423,要,nǐ yào chī qiǎo kè lì ma？,你要吃巧克力吗？,Do you want some chocolate?
424,爷爷,wǒ yé ye tuì xiū le.,我爷爷退休了。,My grandpa is retired.
425,也,wǒ yě xǐ huan tiào wǔ.,我也喜欢跳舞。,I also like to dance.
426,页,dì jǐ yè？,第几页？,Which page?
427,一,lì xī lǜ shì bǎi fēn zhī yī.,利息率是百分之一。,The interest rate is one percent.
428,衣服,zhè jiàn yī fu de zhì liàng hěn hǎo.,这件衣服的质量很好。,The quality of these clothes is good.
429,医生,tā shì yī shēng.,他是医生。,He is a doctor.
430,医院,fù jìn yǒu yī yuàn ma？,附近有医院吗？,Is there a hospital nearby?
431,一半,zhè shì nǐ de yí bàn.,这是你的一半。,This is your half.
432,一会儿,qǐng děng yí huìr.,请等一会儿。,Please wait a moment.
433,一块儿,wǒ men yí kuàir wán ba！,我们一块儿玩吧！,Let's play together!
434,一下儿,nǐ kě yǐ zhào gù yí xiàr bǎo bǎo ma？,你可以照顾一下儿宝宝吗？,Can you look after the baby for a bit?
435,一样,tā men yí yàng gāo.,他们一样高。,They are the same height.
436,一边,tā de tóu fa yì biān cháng， yì biān duǎn.,她的头发一边长，一边短。,Her hair is long on one side and short on the other (one side).
437,一点儿,wǒ huì shuō yī diǎnr zhōng wén.,我会说一点儿中文。,I can speak a little bit Chinese.
438,一起,wǒ men yì qǐ qù lǚ xíng ba！,我们一起去旅行吧！,Let's travel together!
439,一些,tā mǎi le yì xiē yī fu.,他买了一些衣服。,He bought some clothes.
440,用,nǐ huì yòng kuài zi ma？,你会用筷子吗？,Can you use chopsticks?
441,有,wǒ yǒu yí gè gē ge.,我有一个哥哥。,I have an elder brother.
442,有的,yǒu de rén xǐ huan mǐ fàn， yǒu de rén xǐ huan miàn tiáo.,有的人喜欢米饭，有的人喜欢面条。,"Some people like rice, some people like noodles."
443,有名,tā hěn yǒu míng.,她很有名。,She is famous.
444,有时候 / 有时,wǒ yǒu shí hou zài jiā zuò fàn.,我有时候在家做饭。,I sometimes cook at home.
445,有（一）些,yǒu (yì) xiē rén xǐ huan shàng yè bān.,有(一)些人喜欢上夜班。,Some people like to work at night.
446,有用,nǐ jué de zhè gè shì pín yǒu yòng ma？,你觉得这个视频有用吗？,Did you find this video useful?
447,右,wǒ de yòu shǒu shòu shāng le.,我的右手受伤了。,My right hand is injured.
448,右边,jiǔ diàn zài chē zhàn de yòu bian.,酒店在车站的右边。,The hotel is on the right side of the station.
449,雨,wǒ xǐ huan zài yǔ zhōng sàn bù.,我喜欢在雨中散步。,I like to walk in the rain.
450,元,zhè tiáo kù zi wǔ bǎi yuán.,这条裤子五百元。,The pair of pants costs five hundred yuan.
451,远,nǐ jiā lí dì tiě zhàn yuǎn ma？,你家离地铁站远吗？,Is your home far from the metro station?
452,月,tā xué zhōng wén liù gè yuè le.,他学中文六个月了。,He has been learning Chinese for 6 months.
453,再,zài zuò yí cì.,再做一次。,Do it again.
454,再见,zài jiàn！,再见！,Goodbye!
455,在,nǐ zài bàn gōng shì ma？,你在办公室吗？,Are you in the office?
456,在家,nǐ zài jiā ma？,你在家吗？,Are you at home?
457,早,wǒ yào zǎo shuì zǎo qǐ.,我要早睡早起。,I want to go to bed early and get up early.
458,早饭,nǐ zǎo fàn chī le shén me？,你早饭吃了什么？,What did you eat for breakfast?
459,早上,zǎo shang hǎo！,早上好！,Good morning!
460,怎么,nǐ zhī dào zěn me zuò jiǎo zi ma？,你知道怎么做饺子吗？,Do you know how to make dumplings?
461,站,wǒ zài huǒ chē zhàn děng nǐ.,我在火车站等你。,I'm waiting for you at the train station.
462,找,wǒ zài zhǎo wǒ de shǒu jī.,我在找我的手机。,I'm looking for my phone.
463,找到,nǐ zhǎo dào gōng zuò le ma？,你找到工作了吗？,Have you found a job?
464,这,zhè shì wǒ de shǒu jī.,这是我的手机。,This is my cell phone.
465,这边,nǐ de jiào shì zài zhè biān.,你的教室在这边。,Your classroom is here.
466,这里,zhè lǐ de cài hěn hǎo chī.,这里的菜很好吃。,The food here is delicious.
467,这儿,wǒ cháng cháng zài zhèr jiàn shēn.,我常常在这儿健身。,I often work out here.
468,这些,zhè xiē tián diǎn dōu shì nǐ zuò de ma？,这些甜点都是你做的吗？,Did you make all these desserts?
469,着,tā zhàn zhe.,他站着。,He is standing.
470,真,nǐ zhēn cōng ming.,你真聪明。,You are really smart.
471,真的,zhè xīn wén shì zhēn de ma？,这新闻是真的吗？,Is this news true?
472,正,wǒ zhèng kāi chē ne.,我正开车呢。,I am driving.
473,正在,wǒ zhèng zài jiàn shēn.,我正在健身。,I'm working out.
474,知道,wǒ bù zhī dào.,我不知道。,I don't know.
475,知识,tā de lì shǐ zhī shi hěn qiǎn bó.,他的历史知识很浅薄。,His historical knowledge is shallow.
476,中,tā zài diàn yǐng zhōng yǎn yí gè mā ma.,她在电影中演一个妈妈。,She plays a mom in the movie.
477,中国,nǐ qù guò zhōng guó ma？,你去过中国吗？,Have you been to China?
478,中间,wǒ de chē tíng zài zhōng jiān.,我的车停在中间。,My car is parked in the middle.
479,中文,nǐ de zhōng wén zěn me yàng？,你的中文怎么样？,How is your Chinese?
480,中午,wǒ men zhōng wǔ yī qǐ chī wǔ fàn ba！,我们中午一起吃午饭吧！,Let's have lunch together at noon！
481,中学,tā shì zhōng xué lǎo shī.,他是中学老师。,He is a middle school teacher.
482,中学生,nà gè zhōng xué shēng hěn gāo.,那个中学生很高。,That middle school student is tall.
483,重,wǒ de xíng lǐ hěn zhòng.,我的行李很重。,My luggage is heavy.
484,重要,hàn yǔ shēng diào hěn zhòng yào.,汉语声调很重要。,Chinese tones are very important.
485,住,nǐ zhù zài nǎ lǐ？,你住在哪里？,Where do you live?
486,准备,wǒ yào zhǔn bèi wǎn fàn.,我要准备晚饭。,I'm going to prepare dinner.
487,桌子,zhè zhāng zhuō zi duō cháng？,这张桌子多长？,How long is this table?
488,字,zhè shì shén me zì？,这是什么字？,What character is this?
489,子,qǐng gěi wǒ yī bǎ dāo zi hé chā zi.,请给我一把刀子和叉子。,Please give me a knife and fork.
490,走,zǒu ba！,走吧！,Let's go!
491,走路,tā cháng cháng zǒu lù qù xué xiào.,他常常走路去学校。,He often walks to school.
492,最,nǐ zuì xǐ huan nǎ gè jì jié？,你最喜欢哪个季节？,Which season do you like the most?
493,最好,nǐ zuì hǎo de péng you shì shéi？,你最好的朋友是谁？,Who is your best friend?
494,最后,jīn tiān shì zuì hòu yī tiān.,今天是最后一天。,Today is the last day.
495,昨天,nǐ zuó tiān jiā bān le ma？,你昨天加班了吗？,Did you work overtime yesterday?
496,左,nǐ yòng zuǒ shǒu xiě zì ma？,你用左手写字吗？,Do you write with your left hand?
497,左边,tíng chē chǎng zài chāo shì de zuǒ bian.,停车场在超市的左边。,The parking lot is on the left side of the supermarket.
498,坐,wǒ kě yǐ zuò zài zhè lǐ ma？,我可以坐在这里吗？,Can I sit here?
499,坐下,wǒ men zuò xià hē bēi chá ba.,我们坐下喝杯茶吧。,Let's sit down and have a cup of tea.
500,做,nǐ xià bān hòu yào zuò shén me？,你下班后要做什么？,What are you going to do after work?
